Date,Close,supertrend,trend,signal,atr
2023-01-03 00:00:00-05:00,260.4321594238281,,1,1,
2023-01-04 00:00:00-05:00,261.6728820800781,,1,1,
2023-01-05 00:00:00-05:00,257.5765380859375,,1,1,
2023-01-06 00:00:00-05:00,264.68609619140625,,1,1,
2023-01-09 00:00:00-05:00,266.3994445800781,,1,1,
2023-01-10 00:00:00-05:00,268.6544189453125,,1,1,
2023-01-11 00:00:00-05:00,273.3021240234375,,1,1,
2023-01-12 00:00:00-05:00,274.7791748046875,,1,1,
2023-01-13 00:00:00-05:00,276.66986083984375,,1,1,
2023-01-17 00:00:00-05:00,277.2310791015625,,1,1,
2023-01-18 00:00:00-05:00,273.6271057128906,,1,1,
2023-01-19 00:00:00-05:00,270.9388732910156,,1,1,
2023-01-20 00:00:00-05:00,278.3536376953125,,1,1,
2023-01-23 00:00:00-05:00,284.53753662109375,264.485640883689,1,1,5.866671377618234
2023-01-24 00:00:00-05:00,283.95654296875,266.8273237846234,1,1,5.642451623368546
2023-01-25 00:00:00-05:00,283.3263244628906,266.8273237846234,1,1,5.745132883908354
2023-01-26 00:00:00-05:00,288.8504638671875,269.3399415107212,1,1,5.7420074860842645
2023-01-27 00:00:00-05:00,291.725830078125,273.21222788694433,1,1,5.780604138918763
2023-01-30 00:00:00-05:00,285.82745361328125,273.21222788694433,1,1,5.81574208497149
2023-01-31 00:00:00-05:00,290.1108703613281,273.21222788694433,1,1,5.718247015157147
2023-02-01 00:00:00-05:00,296.314453125,275.02828568629695,1,1,6.092633722389412
2023-02-02 00:00:00-05:00,306.94915771484375,285.79257303341484,1,1,6.5549240687422365
2023-02-03 00:00:00-05:00,301.49395751953125,285.79257303341484,1,1,6.638848280445231
2023-02-06 00:00:00-05:00,298.9436340332031,285.79257303341484,1,1,6.443169917623675
2023-02-07 00:00:00-05:00,305.1373596191406,285.79257303341484,1,1,6.59556399158692
2023-02-08 00:00:00-05:00,299.711669921875,285.79257303341484,1,1,6.5612350135723165
2023-02-09 00:00:00-05:00,297.0628662109375,285.79257303341484,1,1,6.7108217921915285
2023-02-10 00:00:00-05:00,295.1131591796875,285.79257303341484,1,1,6.543064682496588
2023-02-13 00:00:00-05:00,299.8396911621094,285.79257303341484,1,1,6.455513999315907
2023-02-14 00:00:00-05:00,302.0552673339844,285.79257303341484,1,1,6.473389587583379
2023-02-15 00:00:00-05:00,304.3693542480469,285.79257303341484,1,1,6.3676033914140096
2023-02-16 00:00:00-05:00,298.6580505371094,285.79257303341484,1,1,6.331274719526419
2023-02-17 00:00:00-05:00,296.55078125,285.79257303341484,1,1,6.244786089743203
2023-02-21 00:00:00-05:00,289.5299377441406,285.79257303341484,1,1,6.310064598476954
2023-02-22 00:00:00-05:00,289.74658203125,285.79257303341484,1,1,6.126619269352385
2023-02-23 00:00:00-05:00,292.2772521972656,285.79257303341484,1,1,6.081476202958215
2023-02-24 00:00:00-05:00,287.38330078125,285.79257303341484,1,1,6.123257960628291
2023-02-27 00:00:00-05:00,289.4412841796875,285.79257303341484,1,1,6.012235529057894
2023-02-28 00:00:00-05:00,289.067138671875,285.79257303341484,1,1,5.8050501793813005
2023-03-01 00:00:00-05:00,286.7432861328125,285.79257303341484,1,1,5.652753328848926
2023-03-02 00:00:00-05:00,289.1163635253906,285.79257303341484,1,1,5.675217442965549
2023-03-03 00:00:00-05:00,295.0934753417969,285.79257303341484,1,1,5.713663276953173
2023-03-06 00:00:00-05:00,295.42822265625,285.79257303341484,1,1,5.609390525572428
2023-03-07 00:00:00-05:00,291.8045654296875,285.79257303341484,1,1,5.580794481284068
2023-03-08 00:00:00-05:00,293.26190185546875,285.79257303341484,1,1,5.431855988644878
2023-03-09 00:00:00-05:00,288.180908203125,285.79257303341484,1,1,5.687436657361606
2023-03-10 00:00:00-05:00,284.1337585449219,303.727631393889,-1,-1,5.771428755834319
2023-03-13 00:00:00-04:00,286.24102783203125,303.42987728970456,-1,-1,6.011895954942589
2023-03-14 00:00:00-04:00,292.81878662109375,303.42987728970456,-1,-1,6.091702362374634
2023-03-15 00:00:00-04:00,294.3548583984375,303.42987728970456,-1,-1,6.080702867301041
2023-03-16 00:00:00-04:00,302.1143493652344,303.42987728970456,-1,-1,6.349016662512357
2023-03-17 00:00:00-04:00,300.6865234375,303.42987728970456,-1,-1,6.302053849001164
2023-03-20 00:00:00-04:00,301.7536315917969,303.42987728970456,-1,-1,6.154111480201349
2023-03-21 00:00:00-04:00,306.06341552734375,286.1830551728247,1,1,6.054777557800079
2023-03-22 00:00:00-04:00,301.90155029296875,287.487552492419,1,1,6.277424202251721
2023-03-23 00:00:00-04:00,305.4815673828125,287.487552492419,1,1,6.394706614082572
2023-03-24 00:00:00-04:00,306.6058349609375,287.487552492419,1,1,6.222535115362675
2023-03-27 00:00:00-04:00,304.5051574707031,287.66829306360256,1,1,6.116905008638212
2023-03-28 00:00:00-04:00,302.8876953125,287.66829306360256,1,1,5.9610606331858635
2023-03-29 00:00:00-04:00,308.41058349609375,289.482206850095,1,1,5.974142825452497
2023-03-30 00:00:00-04:00,311.329833984375,292.8271438519472,1,1,5.801021591895551
2023-03-31 00:00:00-04:00,316.5074462890625,296.6604204880512,1,1,5.779037931628422
2023-04-03 00:00:00-04:00,315.7381591796875,297.6845984591339,1,1,5.613510009111756
2023-04-04 00:00:00-04:00,314.6731262207031,298.88331627829984,1,1,5.480234502039815
2023-04-05 00:00:00-04:00,311.5664978027344,298.88331627829984,1,1,5.441013511193862
2023-04-06 00:00:00-04:00,313.6671142578125,298.88331627829984,1,1,5.4560138840313295
2023-04-10 00:00:00-04:00,313.4896240234375,298.88331627829984,1,1,5.4044286092803455
2023-04-11 00:00:00-04:00,311.4776916503906,298.88331627829984,1,1,5.200145363334394
2023-04-12 00:00:00-04:00,308.7261657714844,298.88331627829984,1,1,5.240805708028126
2023-04-13 00:00:00-04:00,314.7716979980469,298.88331627829984,1,1,5.33209803851898
2023-04-14 00:00:00-04:00,314.17999267578125,298.88331627829984,1,1,5.285844122305982
2023-04-17 00:00:00-04:00,314.4462585449219,298.88331627829984,1,1,5.130887941865123
2023-04-18 00:00:00-04:00,314.46600341796875,300.0347733692075,1,1,5.030675182686271
2023-04-19 00:00:00-04:00,314.31805419921875,300.0347733692075,1,1,4.9186012825121335
