Date,close,volatility,supertrend,direction,cluster,assigned_centroid,trend_signal,signal_change
2023-01-03 00:00:00-05:00,260.43218994140625,,,,,,0,
2023-01-04 00:00:00-05:00,261.67291259765625,,,,,,0,0.0
2023-01-05 00:00:00-05:00,257.5765686035156,,,,,,0,0.0
2023-01-06 00:00:00-05:00,264.68603515625,,,,,,0,0.0
2023-01-09 00:00:00-05:00,266.3994140625,,,,,,0,0.0
2023-01-10 00:00:00-05:00,268.6544189453125,,,,,,0,0.0
2023-01-11 00:00:00-05:00,273.3021545410156,,,,,,0,0.0
2023-01-12 00:00:00-05:00,274.77923583984375,,,,,,0,0.0
2023-01-13 00:00:00-05:00,276.6697998046875,,,,,,0,0.0
2023-01-17 00:00:00-05:00,277.2310485839844,5.612765652737977,,,,,0,0.0
2023-01-18 00:00:00-05:00,273.6271057128906,5.7427440328343575,,,,,0,0.0
2023-01-19 00:00:00-05:00,270.93890380859375,5.561359383440541,,,,,0,0.0
2023-01-20 00:00:00-05:00,278.3536376953125,5.780176110656372,,,,,0,0.0
2023-01-23 00:00:00-05:00,284.53753662109375,5.943635300839282,,,,,0,0.0
2023-01-24 00:00:00-05:00,283.9565734863281,5.622031281881817,,,,,0,0.0
2023-01-25 00:00:00-05:00,283.3263854980469,5.767824167971648,,,,,0,0.0
2023-01-26 00:00:00-05:00,288.85052490234375,5.761179486356693,,,,,0,0.0
2023-01-27 00:00:00-05:00,291.725830078125,5.813297600297748,,,,,0,0.0
2023-01-30 00:00:00-05:00,285.8274230957031,5.859224426396609,,,,,0,0.0
2023-01-31 00:00:00-05:00,290.1109313964844,5.718383188152682,,,,,0,0.0
2023-02-01 00:00:00-05:00,296.3144836425781,6.242511073852411,,,,,0,0.0
2023-02-02 00:00:00-05:00,306.94915771484375,6.874726771842253,,,,,0,0.0
2023-02-03 00:00:00-05:00,301.49395751953125,6.9602403979164436,,,,,0,0.0
2023-02-06 00:00:00-05:00,298.9435729980469,6.654157554191745,,,,,0,0.0
2023-02-07 00:00:00-05:00,305.1373291015625,6.846410408305814,,,,,0,0.0
2023-02-08 00:00:00-05:00,299.711669921875,6.773262145655666,,,,,0,0.0
2023-02-09 00:00:00-05:00,297.0628356933594,6.961480833595886,,,,,0,0.0
2023-02-10 00:00:00-05:00,295.1131896972656,6.701548897314667,,,,,0,0.0
2023-02-13 00:00:00-05:00,299.8396911621094,6.5631264676220935,,,,,0,0.0
