Date,open,high,low,close,volume,Dividends,Stock Splits,Capital Gains,volatility,cluster,assigned_centroid,high_centroid,mid_centroid,low_centroid,supertrend,direction,trend_signal,signal_change
2023-01-03 00:00:00-05:00,264.5383829796149,266.01542591088077,258.11818052323144,260.4322204589844,42335300,0.0,0.0,0.0,,,,,,,,,0,
2023-01-04 00:00:00-05:00,262.5591317640736,263.3567324392603,258.51201903209693,261.6728820800781,47754900,0.0,0.0,0.0,,,,,,,,,0,0.0
2023-01-05 00:00:00-05:00,259.99894053918734,260.1663219023147,257.26148896394835,257.5765686035156,45396700,0.0,0.0,0.0,,,,,,,,,0,0.0
2023-01-06 00:00:00-05:00,259.3194947032714,265.80863265972346,256.3555524462624,264.6860656738281,54659700,0.0,0.0,0.0,,,,,,,,,0,0.0
2023-01-09 00:00:00-05:00,266.6849539979456,271.0767156697658,265.78890792394884,266.3994140625,45568700,0.0,0.0,0.0,,,,,,,,,0,0.0
2023-01-10 00:00:00-05:00,265.36550994051134,268.7627205301277,264.8534792351909,268.6543884277344,35247800,0.0,0.0,0.0,,,,,,,,,0,0.0
2023-01-11 00:00:00-05:00,269.72770590849524,273.41045611507803,268.9399317663714,273.3021240234375,44077000,0.0,0.0,0.0,,,,,,,,,0,0.0
2023-01-12 00:00:00-05:00,273.863445925794,275.81315339453704,269.55047579981147,274.7792053222656,60600000,0.0,0.0,0.0,,,,,,,,,0,0.0
2023-01-13 00:00:00-05:00,272.26821124546194,276.91597359424037,271.9334184977314,276.6697998046875,44802900,0.0,0.0,0.0,,,,,,,,,0,0.0
2023-01-17 00:00:00-05:00,276.47281417466587,278.52099667586793,275.3010246789079,277.2310485839844,36269700,0.0,0.0,0.0,5.612759579081631,,,,,,,,0,0.0
2023-01-18 00:00:00-05:00,278.7770423526374,280.3328775896966,273.4203281359948,273.6271057128906,47754500,0.0,0.0,0.0,5.742738566543647,,,,,,,,0,0.0
2023-01-19 00:00:00-05:00,271.9924737115214,273.1347235999336,269.6981474183331,270.9388427734375,44150400,0.0,0.0,0.0,5.561360539345033,,,,,,,,0,0.0
2023-01-20 00:00:00-05:00,272.55379847332415,278.6884304641926,271.4903108069865,278.3536376953125,60613600,0.0,0.0,0.0,5.78018325448604,,,,,,,,0,0.0
2023-01-23 00:00:00-05:00,279.2004451991044,285.7683444086123,278.4028446060518,284.5374755859375,52799900,0.0,0.0,0.0,5.943635600367414,,,,,,,,0,0.0
2023-01-24 00:00:00-05:00,282.912798892096,285.1185067062446,282.39091159497997,283.9565734863281,44875100,0.0,0.0,0.0,5.622031551457137,,,,,,,,0,0.0
2023-01-25 00:00:00-05:00,279.4268802358819,283.9466265326938,276.87652387496223,283.3262939453125,50872000,0.0,0.0,0.0,5.767833357448013,,,,,,,,0,0.0
2023-01-26 00:00:00-05:00,286.7629756078907,289.02776284986896,284.1042861929452,288.85052490234375,51596300,0.0,0.0,0.0,5.761196912158858,,,,,,,,0,0.0
2023-01-27 00:00:00-05:00,287.5309885362853,293.6951898929872,287.41282992442075,291.7257995605469,56441900,0.0,0.0,0.0,5.813313217799615,,,,,,,,0,0.0
2023-01-30 00:00:00-05:00,288.44671555080447,289.8745354022516,285.45326421683865,285.8274230957031,49405800,0.0,0.0,0.0,5.859235430390476,,,,,,,,0,0.0
2023-01-31 00:00:00-05:00,285.86686688517756,290.2093764109989,285.75856483523495,290.11090087890625,46705100,0.0,0.0,0.0,5.718393044927825,,,,,,,,0,0.0
2023-02-01 00:00:00-05:00,289.90407861528723,298.7860173116696,287.82635639526075,296.314453125,67562200,0.0,0.0,0.0,6.242519832075926,,,,,,,,0,0.0
2023-02-02 00:00:00-05:00,302.8627392833159,308.87921311525395,302.0355988410642,306.94921875,83070600,0.0,0.0,0.0,6.874743847893728,,,,,,,,0,0.0
2023-02-03 00:00:00-05:00,300.27294513469144,307.60893611253806,299.8790730799539,301.49395751953125,76170800,0.0,0.0,0.0,6.960255766362771,,,,,,,,0,0.0
2023-02-06 00:00:00-05:00,298.8648411241286,301.2281035256737,297.5945759387248,298.943603515625,40802300,0.0,0.0,0.0,6.654168347807138,,,,,,,,0,0.0
2023-02-07 00:00:00-05:00,298.8156030837387,306.26975311217694,297.6930661590678,305.1373596191406,67584000,0.0,0.0,0.0,6.846420208337337,,,,,,,,0,0.0
2023-02-08 00:00:00-05:00,303.81780021160375,304.76309898656416,299.0223404249689,299.71160888671875,56720900,0.0,0.0,0.0,6.773280106920778,,,,,,,,0,0.0
2023-02-09 00:00:00-05:00,304.11331929577835,304.2610175935211,295.6055667900964,297.0628967285156,49137800,0.0,0.0,0.0,6.961497176571169,,,,,,,,0,0.0
2023-02-10 00:00:00-05:00,294.8965250368092,296.95453436889693,292.70064395447514,295.1131591796875,50050100,0.0,0.0,0.0,6.7015727363181,,,,,,,,0,0.0
2023-02-13 00:00:00-05:00,296.521303295453,300.4305448753664,295.3396569040951,299.8397216796875,39636700,0.0,0.0,0.0,6.563154032254182,,,,,,,,0,0.0
2023-02-14 00:00:00-05:00,298.2543581008255,303.0104229265965,296.304650691536,302.0552673339844,64079100,0.0,0.0,0.0,6.577415852534817,,,,,,,,0,0.0
2023-02-15 00:00:00-05:00,300.23356134069036,304.53667456908903,299.5442927289988,304.3692932128906,43100600,0.0,0.0,0.0,6.418912451290357,,,,,,,,0,0.0
2023-02-16 00:00:00-05:00,299.72153821129837,303.7095418632233,298.51035226305913,298.6580505371094,59498600,0.0,0.0,0.0,6.36291530114447,,,,,,,,0,0.0
2023-02-17 00:00:00-05:00,296.46225382203977,297.309077449023,293.53770725704214,296.5508728027344,58230700,0.0,0.0,0.0,6.238658099036747,,,,,,,,0,0.0
2023-02-21 00:00:00-05:00,292.7105450132037,294.15804835824275,289.39212654103335,289.52996826171875,46526700,0.0,0.0,0.0,6.330666915303175,,,,,,,,0,0.0
2023-02-22 00:00:00-05:00,290.1109144716012,291.82427461834004,288.08244462760706,289.74658203125,51389200,0.0,0.0,0.0,6.071783222846156,,,,,,,,0,0.0
2023-02-23 00:00:00-05:00,293.4096150922579,293.5671699223433,288.0725541562192,292.2772216796875,69294400,0.0,0.0,0.0,6.014066477173947,,,,,,,,0,0.0
2023-02-24 00:00:00-05:00,287.29465131094315,288.4861239649753,285.6108010575689,287.3832702636719,74332000,0.0,0.0,0.0,6.079301891668414,,,,,,,,0,0.0
2023-02-27 00:00:00-05:00,290.55399446646027,291.95224469989273,288.85046110125387,289.4412841796875,48995000,0.0,0.0,0.0,5.928269146123658,,,,,,,,0,0.0
2023-02-28 00:00:00-05:00,288.8111082876229,291.58795613823287,288.4763155046473,289.067138671875,48243100,0.0,0.0,0.0,5.6466062948698506,,,,,,,,0,0.0
2023-03-01 00:00:00-05:00,288.77172533277906,289.43145429160955,285.75856041058114,286.7432556152344,58287000,0.0,0.0,0.0,5.449235053485707,,,,,,,,0,0.0
2023-03-02 00:00:00-05:00,284.2421099707557,289.92379025533694,283.95653995872647,289.1163330078125,53565900,0.0,0.0,0.0,5.501036577798184,,,,,,,,0,0.0
2023-03-03 00:00:00-05:00,290.8691241313166,295.32979210216257,290.35706340453174,295.09344482421875,60511500,0.0,0.0,0.0,5.5722788294533725,,,,,,,,0,0.0
2023-03-06 00:00:00-05:00,296.3341553998282,299.3473200994196,295.2313016601752,295.42822265625,56736300,0.0,0.0,0.0,5.440438474028122,,,,,,,,0,0.0
2023-03-07 00:00:00-05:00,295.47745835995033,296.4030741344678,291.1940287737061,291.8045349121094,65955800,0.0,0.0,0.0,5.417299162701474,,,,,,,,0,0.0
2023-03-08 00:00:00-05:00,292.2279843802821,293.8625820222282,290.366926074126,293.2619323730469,50876300,0.0,0.0,0.0,5.2251348412415455,,,,,,,,0,0.0
2023-03-09 00:00:00-05:00,293.7641133015283,296.3735796886288,287.36359433794973,288.180908203125,71456700,0.0,0.0,0.0,5.603619892185299,,,,,,,,0,0.0
2023-03-10 00:00:00-05:00,288.3482833331323,289.84503927537463,282.98171250223487,284.1337890625,98593600,0.0,0.0,0.0,5.729590580280746,,,,,,,,0,0.0
2023-03-13 00:00:00-04:00,282.3416736592623,289.96320511096644,280.82523459337204,286.2410583496094,97123600,0.0,0.0,0.0,6.070428574012111,,,,,,,,0,0.0
2023-03-14 00:00:00-04:00,289.80565212448965,293.3702440660703,288.95882864688264,292.8188171386719,73602500,0.0,0.0,0.0,6.176304288256994,,,,,,,,0,0.0
2023-03-15 00:00:00-04:00,290.1995647950694,294.6897732893145,288.75206139557474,294.35498046875,83631500,0.0,0.0,0.0,6.1524450488052675,,,,,,,,0,0.0
2023-03-16 00:00:00-04:00,293.43915691472165,302.47865124782425,292.6415562412427,302.11431884765625,98198100,0.0,0.0,0.0,6.5209100445828945,,,,,,,,0,0.0
2023-03-17 00:00:00-04:00,302.0257245873851,304.4185268034909,298.72698953013526,300.6865234375,89923700,0.0,0.0,0.0,6.437972767460171,,,,,,,,0,0.0
2023-03-20 00:00:00-04:00,300.06720439467904,302.07907083799887,297.8482101521951,301.7536315917969,56359500,0.472,0.0,0.0,6.217261559294529,,,,,,,,0,0.0
2023-03-21 00:00:00-04:00,303.6964640049686,306.51703759556864,302.1776774039352,306.0633850097656,49757000,0.0,0.0,0.0,6.0718760037422514,,,,,,,,0,0.0
2023-03-22 00:00:00-04:00,305.9943248335104,310.9057089614732,301.73387930848037,301.9015197753906,75791900,0.0,0.0,0.0,6.3818713686673085,,,,,,,,0,0.0
2023-03-23 00:00:00-04:00,305.6491769142539,309.8208663586927,302.77927440520347,305.48150634765625,74576000,0.0,0.0,0.0,6.535618890130784,,,,,,,,0,0.0
2023-03-24 00:00:00-04:00,305.0574325563806,306.7044023188355,302.7200970834037,306.6058044433594,57195200,0.0,0.0,0.0,6.280487524660886,,,,,,,,0,0.0
2023-03-27 00:00:00-04:00,307.30604817549226,308.3908958071319,303.6471817104956,304.50518798828125,50287400,0.0,0.0,0.0,6.12681018185843,,,,,,,,0,0.0
2023-03-28 00:00:00-04:00,303.9233049777093,303.9528903615946,300.5701342865282,302.88775634765625,48585900,0.0,0.0,0.0,5.907634533847895,,,,,,,,0,0.0
2023-03-29 00:00:00-04:00,306.59594310857653,309.03190663741873,305.7773640154862,308.41058349609375,53274300,0.0,0.0,0.0,5.931286109439354,,,,,,,,0,0.0
